ano;fase;cor;n.anuario;n.fuvest
2000;inscrito;branca;;97878
2000;inscrito;preta;;2757
2000;inscrito;amarela;;9708
2000;inscrito;parda;;10164
2000;inscrito;indígena;;746
2000;inscrito;NR;;1397
2000;convocado;branca;;
2000;convocado;preta;;
2000;convocado;amarela;;
2000;convocado;parda;;
2000;convocado;indígena;;
2000;convocado;NR;;
2000;matriculado;branca;;5946
2000;matriculado;preta;;101
2000;matriculado;amarela;;904
2000;matriculado;parda;;421
2000;matriculado;indígena;;34
2000;matriculado;NR;;79
2001;inscrito;branca;;93197
2001;inscrito;preta;;3186
2001;inscrito;amarela;;9014
2001;inscrito;parda;;12374
2001;inscrito;indígena;;584
2001;inscrito;NR;;2143
2001;convocado;branca;;
2001;convocado;preta;;
2001;convocado;amarela;;
2001;convocado;parda;;
2001;convocado;indígena;;
2001;convocado;NR;;
2001;matriculado;branca;;5992
2001;matriculado;preta;;96
2001;matriculado;amarela;;936
2001;matriculado;parda;;518
2001;matriculado;indígena;;29
2001;matriculado;NR;;103
2002;inscrito;branca;94464;94520
2002;inscrito;preta;3593;3601
2002;inscrito;amarela;9246;9250
2002;inscrito;parda;13208;13234
2002;inscrito;indígena;647;648
2002;inscrito;NR;53;1553
2002;convocado;branca;17573;
2002;convocado;preta;347;
2002;convocado;amarela;2347;
2002;convocado;parda;1709;
2002;convocado;indígena;89;
2002;convocado;NR;14;
2002;matriculado;branca;6399;6276
2002;matriculado;preta;93;108
2002;matriculado;amarela;868;890
2002;matriculado;parda;579;609
2002;matriculado;indígena;31;30
2002;matriculado;NR;5;63
2003;inscrito;branca;102567;102628
2003;inscrito;preta;4500;4504
2003;inscrito;amarela;9570;9574
2003;inscrito;parda;15954;15966
2003;inscrito;indígena;784;784
2003;inscrito;NR;27;1337
2003;convocado;branca;18721;
2003;convocado;preta;417;
2003;convocado;amarela;2143;
2003;convocado;parda;1958;
2003;convocado;indígena;95;
2003;convocado;NR;5;
2003;matriculado;branca;6845;6721
2003;matriculado;preta;134;140
2003;matriculado;amarela;848;859
2003;matriculado;parda;655;674
2003;matriculado;indígena;31;35
2003;matriculado;NR;1;51
2004;inscrito;branca;99517;99583
2004;inscrito;preta;5198;5201
2004;inscrito;amarela;9354;9358
2004;inscrito;parda;19139;19152
2004;inscrito;indígena;732;732
2004;inscrito;NR;25;1825
2004;convocado;branca;19780;
2004;convocado;preta;486;
2004;convocado;amarela;2267;
2004;convocado;parda;2525;
2004;convocado;indígena;99;
2004;convocado;NR;3;
2004;matriculado;branca;6935;6885
2004;matriculado;preta;134;153
2004;matriculado;amarela;817;790
2004;matriculado;parda;767;767
2004;matriculado;indígena;31;26
2004;matriculado;NR;2;86
2005;inscrito;branca;95264;95393
2005;inscrito;preta;6727;6747
2005;inscrito;amarela;8662;8671
2005;inscrito;parda;23931;23975
2005;inscrito;indígena;788;792
2005;inscrito;NR;31;1211
2005;convocado;branca;20334;
2005;convocado;preta;596;
2005;convocado;amarela;2359;
2005;convocado;parda;3163;
2005;convocado;indígena;115;
2005;convocado;NR;5;
2005;matriculado;branca;7388;7377
2005;matriculado;preta;172;170
2005;matriculado;amarela;963;975
2005;matriculado;parda;1015;1074
2005;matriculado;indígena;35;35
2005;matriculado;NR;1;92
2006;inscrito;branca;104918;104961
2006;inscrito;preta;8376;8377
2006;inscrito;amarela;8821;8823
2006;inscrito;parda;28249;28252
2006;inscrito;indígena;883;883
2006;inscrito;NR;32;1631
2006;convocado;branca;20356;
2006;convocado;preta;575;
2006;convocado;amarela;2462;
2006;convocado;parda;3100;
2006;convocado;indígena;127;
2006;convocado;NR;6;
2006;matriculado;branca;7660;7659
2006;matriculado;preta;153;173
2006;matriculado;amarela;1025;1005
2006;matriculado;parda;1048;1059
2006;matriculado;indígena;37;40
2006;matriculado;NR;2;123
2007;inscrito;branca;90279;90306
2007;inscrito;preta;6161;6162
2007;inscrito;amarela;7882;7883
2007;inscrito;parda;19973;19974
2007;inscrito;indígena;571;571
2007;inscrito;NR;19;1102
2007;convocado;branca;25219;
2007;convocado;preta;943;
2007;convocado;amarela;2669;
2007;convocado;parda;4195;
2007;convocado;indígena;133;
2007;convocado;NR;5;
2007;matriculado;branca;7879;7786
2007;matriculado;preta;197;211
2007;matriculado;amarela;956;972
2007;matriculado;parda;1089;1133
2007;matriculado;indígena;42;42
2007;matriculado;NR;2;130
2008;inscrito;branca;90164;90195
2008;inscrito;preta;5542;5544
2008;inscrito;amarela;7648;7651
2008;inscrito;parda;18525;18531
2008;inscrito;indígena;464;464
2008;inscrito;NR;26;1091
2008;convocado;branca;25667;
2008;convocado;preta;972;
2008;convocado;amarela;2558;
2008;convocado;parda;4198;
2008;convocado;indígena;100;
2008;convocado;NR;5;
2008;matriculado;branca;8032;7964
2008;matriculado;preta;186;219
2008;matriculado;amarela;929;893
2008;matriculado;parda;1127;1182
2008;matriculado;indígena;26;25
2008;matriculado;NR;0;98
2009;inscrito;branca;91249;91280
2009;inscrito;preta;4886;4886
2009;inscrito;amarela;7489;7494
2009;inscrito;parda;17283;17287
2009;inscrito;indígena;350;350
2009;inscrito;NR;31;1175
2009;convocado;branca;27342;
2009;convocado;preta;1049;
2009;convocado;amarela;2613;
2009;convocado;parda;4457;
2009;convocado;indígena;78;
2009;convocado;NR;9;
2009;matriculado;branca;8175;8037
2009;matriculado;preta;246;268
2009;matriculado;amarela;906;883
2009;matriculado;parda;1186;1199
2009;matriculado;indígena;21;27
2009;matriculado;NR;7;107
2010;inscrito;branca;87777;87808
2010;inscrito;preta;4019;4019
2010;inscrito;amarela;7109;7113
2010;inscrito;parda;14426;14427
2010;inscrito;indígena;412;412
2010;inscrito;NR;0;14
2010;convocado;branca;27480;
2010;convocado;preta;978;
2010;convocado;amarela;2556;
2010;convocado;parda;4107;
2010;convocado;indígena;98;
2010;convocado;NR;0;
2010;matriculado;branca;8556;8387
2010;matriculado;preta;212;227
2010;matriculado;amarela;888;873
2010;matriculado;parda;1042;1082
2010;matriculado;indígena;24;26
2010;matriculado;NR;0;0
2011;inscrito;branca;94172;94225
2011;inscrito;preta;4523;4523
2011;inscrito;amarela;7303;7304
2011;inscrito;parda;15478;15752
2011;inscrito;indígena;380;380
2011;inscrito;NR;0;1
2011;convocado;branca;27885;
2011;convocado;preta;1097;
2011;convocado;amarela;2555;
2011;convocado;parda;4148;
2011;convocado;indígena;80;
2011;convocado;NR;0;
2011;matriculado;branca;8501;8274
2011;matriculado;preta;245;297
2011;matriculado;amarela;909;866
2011;matriculado;parda;1072;1116
2011;matriculado;indígena;25;25
2011;matriculado;NR;0;0
2012;inscrito;branca;97526;97568
2012;inscrito;preta;5216;5216
2012;inscrito;amarela;7035;7035
2012;inscrito;parda;17890;17895
2012;inscrito;indígena;387;387
2012;inscrito;NR;0;0
2012;convocado;branca;22841;
2012;convocado;preta;835;
2012;convocado;amarela;2013;
2012;convocado;parda;3443;
2012;convocado;indígena;71;
2012;convocado;NR;0;
2012;matriculado;branca;8626;8436
2012;matriculado;preta;241;283
2012;matriculado;amarela;888;817
2012;matriculado;parda;1151;1205
2012;matriculado;indígena;23;25
2012;matriculado;NR;0;0
2013;inscrito;branca;104015;104057
2013;inscrito;preta;5916;5917
2013;inscrito;amarela;6997;6998
2013;inscrito;parda;20805;20806
2013;inscrito;indígena;315;316
2013;inscrito;NR;0;0
2013;convocado;branca;22650;
2013;convocado;preta;824;
2013;convocado;amarela;1917;
2013;convocado;parda;3499;
2013;convocado;indígena;53;
2013;convocado;NR;0;
2013;matriculado;branca;8919;8635
2013;matriculado;preta;192;260
2013;matriculado;amarela;818;818
2013;matriculado;parda;1136;1242
2013;matriculado;indígena;17;20
2013;matriculado;NR;0;0
2014;inscrito;branca;93487;107864
2014;inscrito;preta;5450;6866
2014;inscrito;amarela;6511;7145
2014;inscrito;parda;21055;25342
2014;inscrito;indígena;439;416
2014;inscrito;NR;0;2
2014;convocado;branca;20533;
2014;convocado;preta;1015;
2014;convocado;amarela;1648;
2014;convocado;parda;4201;
2014;convocado;indígena;1648;
2014;convocado;NR;0;
2014;matriculado;branca;8557;8471
2014;matriculado;preta;317;361
2014;matriculado;amarela;768;736
2014;matriculado;parda;1497;1525
2014;matriculado;indígena;25;18
2014;matriculado;NR;0;0
2015;inscrito;branca;93487;93516
2015;inscrito;preta;5450;5452
2015;inscrito;amarela;6511;6511
2015;inscrito;parda;21055;21059
2015;inscrito;indígena;439;439
2015;inscrito;NR;0;1
2015;convocado;branca;20533;
2015;convocado;preta;1015;
2015;convocado;amarela;1648;
2015;convocado;parda;4201;
2015;convocado;indígena;74;
2015;convocado;NR;0;
2015;matriculado;branca;8557;8282
2015;matriculado;preta;317;391
2015;matriculado;amarela;768;733
2015;matriculado;parda;1497;1642
2015;matriculado;indígena;25;32
2015;matriculado;NR;0;0
